Prof Name,Course Number
"Forde, Loney",MEDC 1250
"Ruttle, April",MEDC 1259
"Forde, Loney",MEDC 1260
"Ruttle, April",MEDC 1270
"Tiagi, Raaj",MGMT 1002
"Balezin, Andrei",MGMT 1003
"Balezin, Andrei",MGMT 1004
"Wang, James",MGMT 1005
"Joyce, Steve",MGMT 1006
"Xiao, Laurel",MGMT 1006
"Church, Michael",MGMT 1011
"Wang, James",MGMT 1021
"Church, Michael",MGMT 2006
"Greenwood, Clayton",MGMT 2010
"Rivera, Joel",MGMT 2010
"Lai, Elaine",MGMT 2012
"Williams, Venecia",MGMT 2013
"Xiao, Laurel",MGMT 2013
"Elmarashly, Iman",MGMT 2014
"Balezin, Andrei",MGMT 2015
"Rivera, Joel",MGMT 2019
"Williams, Venecia",MGMT 2019
"Kuch, David",MKTG 2004
"Hui, Matt",MKTG 2031
"Singh, Laxinder",MKTG 2077
"Ly, Kevin",MKTG 2078
"McMullen, Heather",MLAB 1111
"McMullen, Heather",MLAB 1112
"McMullen, Heather",MLAB 1113
"McMullen, Heather",MLAB 1114
"McMullen, Heather",MLAB 1115
"Kenler, Melanie",MLAB 1116
"McMullen, Heather",MLAB 1117
"McMullen, Heather",MLAB 1218
"Tonita, Risa",MUSC 1011
"Arai, Bernard",MUSC 1013
"Hayley, Dory",MUSC 1041
"Hayley, Dory",MUSC 1042
"Logan, Emily",MUSC 1050
